decision_date,study,primary_include,sensitivity_use,audited_suspected_testing_frame,audited_blood_tested,audited_blood_positive,blood_volume_ml,verification_adjustment_grade,denominator_compatibility_override,recommended_use_override,audit_notes_override,clinical_testing_country_or_economy,world_bank_fy2027_income_group,target_income_setting_eligible,target_scope_disposition,target_synthesis_role
8/20/2026,Qamar 2018,FALSE,XDR-restricted numerator and Hyderabad-family overlap sensitivity only,170,170,70,,,"Complete testing is reported within the active-surveillance arm, but 70 is an XDR-restricted rather than explicitly all-S. Typhi numerator.",sensitivity only: direct XDR positivity alternative within the Hyderabad family,JHK approved sensitivity-only use of direct 70/170 on 2026-08-20. The paper reports 486 confirmed XDR cases as 416 laboratory-surveillance plus 70 active-surveillance cases; the legacy 486/586 pooled pair is invalid.,Pakistan,Lower middle income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Olgemoeller F 2020,FALSE,Severity-gated laparotomy/perforation-cohort and Blantyre-family sensitivity only,23,14,4,,,Direct 4/14 pair within 23 laparotomy patients; not representative of ordinary suspected outbreak cases.,sensitivity only: severe surgical-selection estimand,"JHK approved sensitivity-only use of direct 4/14 on 2026-08-20. The denominator is a fixed prospective cohort of 23 laparotomy patients with suspected or possible typhoid perforation, so this is a severe, complication-gated estimand rather than PPV among ordinary suspected cases.",Malawi,Low income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Ali 2017,FALSE,Early blood-specific 6/16 outbreak-confirmation sensitivity only,1430,16,6,,,"Only 16 initial blood samples among 1,430 reported suspected cases; later mixed-specimen and clinical confirmation is not pooled.",sensitivity only: selected early blood-culture subset,"JHK approved sensitivity-only use of the blood-specific 6/16 pair on 2026-08-20. Sixteen initial blood samples were cultured among 1,430 reported suspected cases; later confirmation used mixed specimen types and clinical diagnosis and is not pooled with this pair.","Congo, Dem. Rep.",Low income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Lewis 2005,FALSE,Direct 33/98 six-hour febrile-outpatient sampling-frame sensitivity only,100,98,33,,,"Complete or near-complete testing within a six-hour febrile-outpatient sample, but not representative of all outbreak suspects.",sensitivity only: phase-specific hospital sampling frame,JHK approved sensitivity-only use on 2026-08-20. Use the directly reported 33 S. Typhi-positive cultures among 98 cultures obtained from 100 febrile outpatients sampled during one six-hour hospital window. Do not pool the separate selected 6/6 BZH cultures re-incubated at NPHL; the prior 39/104 reconstruction combined distinct sampling frames. The residual blood volume available for culture was reported as 0.5-2.0 mL; no single scalar volume is assigned.,Nepal,Lower middle income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Lutterloh 2012,FALSE,Direct person-level 44/108 phase-varying diagnostic-yield sensitivity only,,108,44,,,Valid person-level blood pair; the 303-category outbreak total is not a culture-independent suspected denominator.,sensitivity only: phase-varying laboratory ascertainment,"JHK approved sensitivity-only use of the direct person-level 44/108 blood-culture pair on 2026-08-20. The report gives 112 blood cultures from 108 people, with 46 positive cultures from 44 people. The broader 303 total combines 214 syndromic-suspected, 43 TUBEX-probable, and 46 culture-confirmed cases under nonnested definitions, so it is not a culture-independent suspected denominator and is retained only as outbreak context. Laboratory access and culture selection changed during the investigation.",Malawi and Mozambique,Low income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Michel 2005,FALSE,Direct 5/6 closed vaccinated military-cohort sensitivity only,24,6,5,,,"Direct within 24 independently defined clinical cases, but only six were cultured in a closed vaccinated military cohort.",sensitivity only: phase-selected exposure cohort,"JHK approved sensitivity-only use of direct 5/6 on 2026-08-20. All 24 cases met the stated clinical rule, but only six were blood cultured during the clinical phase and five grew S. Typhi. The closed, vaccinated French military exposure cohort and phase-specific culture selection are not transportable to community suspected-case PPV. Serology and stool results are not pooled.",Côte d'Ivoire,Lower middle income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Misra 2005,FALSE,Main-text and Table-2 93/150 admitted-cohort sensitivity only,150,150,93,,,Cohort-wide testing is implied and internally coherent at 93/150; the hospital-admitted frame is not community representative.,sensitivity only: hospital-admitted outbreak cohort,JHK approved sensitivity-only use of 93/150 on 2026-08-20. The main Results text and Table 2 report 93 blood-culture-positive cases among the 150-case admitted cohort (62%). The abstract's 92 (63%) is internally inconsistent and is retained only as a documented source discrepancy. The 150 tested denominator is cohort-implied by the Methods and Results wording. Widal positivity and three bone-marrow confirmations remain separate.,India,Lower middle income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Olaru 2019,FALSE,Pre-vaccination reconstructed 41/226 broad-febrile-frame sensitivity only,,226,41,,,"Aligned pre-vaccination blood-culture cells, but no separate suspected-case denominator and patient uniqueness is not explicit.",sensitivity only: pre-vaccination broad febrile frame,"JHK selected the pre-vaccination subset for sensitivity-only use. The selected 41/226 is reconstructed exactly from 23/109 children plus 18/117 adults before vaccination. The all-period 61/316 also includes the nested post-vaccination 20/90 and is context only; these totals must not be modeled together. The denominator is reported as blood cultures among febrile FIEBRE attendees, without a separate suspected-case frame or explicit patient-uniqueness statement. Lightowler remains the preferred primary Harare-family observation.",Zimbabwe,Lower middle income,TRUE,target_eligible,target_sensitivity_only
8/21/2026,Roy 2016,FALSE,Direct 6/13 selected-culture sensitivity only,79,13,6,,,Valid direct blood pair in a selected subset; 79 is a broader outbreak case frame rather than a completely verified cohort.,sensitivity only: phase-specific selectively cultured outbreak frame,"JHK approved sensitivity-only use of the directly reported 6/13 blood-culture pair on 2026-08-21. The paper reports 79 outbreak cases, but only 13 fever patients were selected for blood culture and six grew S. Typhi. The 79-case outbreak frame is not a completely verified clinical cohort; Widal testing and the small selected culture subset limit transportability to all suspected community cases.",India,Lower middle income,TRUE,target_eligible,target_sensitivity_only
8/21/2026,"Walters 2014 (1), Kasese",FALSE,Kasese prospective-frame 7/74 sensitivity only,149,74,7,,,"The 149 prospective cases align temporally with the culture period, but severity and daily-quota sampling make verification incomplete.",sensitivity only: phase-specific selectively cultured outbreak frame,"JHK approved both district-specific Walters observations for sensitivity-only use on 2026-08-21. The report directly identifies 149 Kasese and 128 Bundibugyo cases during prospective laboratory-enhanced case finding; these are prospective case frames, not blood-culture denominators or the full-outbreak totals of 709 and 333. Blood culture yield was 7/74 in Kasese and 15/72 in Bundibugyo. Culturing was severity- and daily-quota-selected, so neither pair represents complete verification of its prospective frame.",Uganda,Low income,TRUE,target_eligible,target_sensitivity_only
8/21/2026,"Walters 2014 (2), Bundibugyo",FALSE,Bundibugyo prospective-frame 15/72 sensitivity only,128,72,15,,,"The 128 prospective cases align temporally with the culture period, but severity and daily-quota sampling make verification incomplete.",sensitivity only: phase-specific selectively cultured outbreak frame,"JHK approved both district-specific Walters observations for sensitivity-only use on 2026-08-21. The report directly identifies 149 Kasese and 128 Bundibugyo cases during prospective laboratory-enhanced case finding; these are prospective case frames, not blood-culture denominators or the full-outbreak totals of 709 and 333. Blood culture yield was 7/74 in Kasese and 15/72 in Bundibugyo. Culturing was severity- and daily-quota-selected, so neither pair represents complete verification of its prospective frame.",Uganda,Low income,TRUE,target_eligible,target_sensitivity_only
8/21/2026,Khan V. 2022,TRUE,Phase-specific rapid-response-visit cohort; retain the cumulative composite 174 count as context only,54,54,9,15,negligible/low,Complete verification within the 54 symptomatic residents at the rapid-response visit; 174 is not an aligned tested denominator,human-adjudicated target primary evidence with phase-specific sensitivity caveat,JHK approved Khan V. 2022 for the target primary PPV layer on 2026-08-21 using the direct 54 suspected / 54 blood-cultured / 9 S. Typhi-positive rapid-response-visit cohort. Complete verification within this cohort supports primary use. The separately reported 174 is the cumulative outbreak total combining clinically suspected and laboratory-confirmed reports; it is context only and is not an aligned tested denominator. The primary estimate remains phase-specific.,India,Lower middle income,TRUE,target_eligible,target_primary
