estimate_id,evidence_layer,study,location,year_or_period,estimate_positive_tested,analysis_role,source_basis,q1_1,q1_2,q1_3,q1_4,q2_1,q2_2,q2_3,q2_4,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q3_8,q4_1,q4_2,q4_3,q4_4,participants_risk_of_bias,participants_rationale,participants_applicability,participants_applicability_rationale,index_test_risk_of_bias,index_test_rationale,index_test_applicability,index_test_applicability_rationale,target_condition_risk_of_bias,target_condition_rationale,target_condition_applicability,target_condition_applicability_rationale,analysis_risk_of_bias,analysis_rationale,overall_risk_of_bias,overall_applicability,overall_rationale,ai_first_pass,human_confirmation_required,jhk_decision,jhk_review_date,jhk_notes,independent_reviewer,independent_review_date,independent_decision,independent_notes,consensus_status
NEW:TITLE_d458792d293e,clinical_definition_ppv,Arora 1992,"Command Hospital, Calcutta, India",1989-1990,98/117,target_sensitivity_only,"Human-approved extraction; count status: direct. Table IV directly reports 98/117 blood cultures positive and Methods states that all 117 admitted suspected cases were cultured. Do not pool the separate 7/7 bone-marrow result because the paper states 103 total culture-positive cases, inconsistent with 98 plus 7.",Y,NI,N,N,PN,PN,PN,PN,N,Y,Y,Y,PY,NI,Y,PY,Y,Y,PY,Y,high,"major. All 117 admitted suspected patients received blood culture. The observation is completely verified within that frame but enriched by hospital referral, admission, and clinician suspicion.",high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",high,"The clinical index definition is incomplete, loosely specified, or not demonstrably independent of diagnostic classification: 117 children admitted to the Pediatric Wing of Command Hospital, Calcutta, from August 1989 through April 1990 with suspected typhoid; no reproducible clinical entry rule was reported",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,low,"The aligned same-frame count is direct or near-complete, with minimal missing outcomes within the stated analytic cohort.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
NEW:PMID_35690501,clinical_definition_ppv,Lightowler 2022,"Harare, Zimbabwe",2019-2020,148/499,target_primary,Human-approved extraction; count status: direct_with_five_missing_or_uninterpretable_results. JHK approved 148/499 for primary analysis on 2026-08-20. Two eligible participants lacked blood collection and three cultures were contaminated; retain overlap and restricted-frame sensitivity analyses.,Y,PY,PY,PY,PY,Y,PY,PY,N,Y,Y,Y,PY,NI,Y,PY,Y,Y,PY,Y,low,"major. All eligible suspected cases were intended for testing; two lacked blood collection and three cultures were contaminated, yielding 148/499 interpretable results in an age-, facility-, suburb-, and campaign-restricted frame.",high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,The clinical index definition is sufficiently explicit and precedes culture: Eligible residents presenting to the designated hospital or one polyclinic per suburb were screened as suspected typhoid; confirmed cases required S. Typhi isolation from blood.,high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,low,"The aligned same-frame count is direct or near-complete, with minimal missing outcomes within the stated analytic cohort.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
NEW:PMID_34297962,clinical_definition_ppv,Yousafzai 2021,"Hyderabad, Pakistan",2018-2019,775/2496,target_primary,"Human-approved extraction; count status: direct. JHK approved 775/2,496 for primary analysis on 2026-08-20. It is the preferred all-S. Typhi Hyderabad-family observation; Qamar 2018 remains sensitivity-only.",Y,PY,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,"major. The blood-specific all-Typhi pair is valid, but only 46.4% of suspected children were cultured and the cohort overlaps the Hyderabad XDR evidence family.",high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,The clinical index definition is sufficiently explicit and precedes culture: The surveillance cohort captured suspected typhoid among children in the two-subdistrict population; culture-confirmed outcomes required S. Typhi isolated from blood.,high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
NEW:TITLE_e0ed559f8fd1,clinical_definition_ppv,Bhunia 2009,"South Dumdum, West Bengal, India",2007,1/4,target_sensitivity_only,Human-approved extraction; count status: direct. JHK approved sensitivity-only use of direct 1/4 on 2026-08-20 because only four of 103 suspected cases were cultured.,Y,NI,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,major. Four suspected patients without prior antibiotics were randomly selected for blood culture; 3.9 percent of all suspected cases were tested.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,The clinical index definition is sufficiently explicit and precedes culture: Outbreak suspected-case definition reported in the primary paper,low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Qamar_2018,clinical_definition_ppv,Qamar 2018,"Hyderabad, Pakistan",2016-2017,70/170,target_sensitivity_only,Human-approved extraction; count status: direct_xdr_restricted_numerator. JHK approved sensitivity-only use of direct 70/170 on 2026-08-20. The paper reports 486 confirmed XDR cases as 416 laboratory-surveillance plus 70 active-surveillance cases; the legacy 486/586 pooled pair is invalid.,Y,PY,PY,PY,PY,Y,PY,PY,N,Y,Y,Y,PY,NI,Y,PY,Y,Y,PY,Y,low,major. The paper reports 486 ceftriaxone-resistant S. Typhi cases: 416 found through laboratory surveillance plus 70 confirmed among 170 clinically suspected people enrolled through active surveillance. The direct 70/170 pair is valid for the active-surveillance arm; an all-S. Typhi numerator was not separately reported.,low,The active-surveillance arm approximates the intended outbreak suspected-case population.,low,The clinical index definition is sufficiently explicit and precedes culture: Hyderabad resident with fever >=37.5 C for at least 3 days and no other identified cause,low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",high,The numerator is pooled across specimen types or restricted to XDR S. Typhi rather than the intended all-S. Typhi target condition.,low,"The aligned same-frame count is direct or near-complete, with minimal missing outcomes within the stated analytic cohort.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
NEW:PMID_32725231,clinical_definition_ppv,Olgemoeller 2020,"Blantyre, Malawi",2016-2017,4/14,target_sensitivity_only,"Human-approved extraction; count status: direct. JHK approved sensitivity-only use of direct 4/14 on 2026-08-20. The denominator is a fixed prospective cohort of 23 laparotomy patients with suspected or possible typhoid perforation, so this is a severe, complication-gated estimand rather than PPV among ordinary suspected cases.",Y,PY,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,major. Prospective enrollment of 23 laparotomy patients with suspected or possible typhoid perforation; 14 had admission or ward blood cultures and 4 grew S. Typhi.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,The clinical index definition is sufficiently explicit and precedes culture: Prospective laparotomy patients with suspected typhoid perforation or intraoperative findings considered compatible with typhoid perforation.,high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Ali_2017,clinical_definition_ppv,Ali 2017,"Kikwit, DRC",2011,6/16,target_sensitivity_only,"Human-approved extraction; count status: direct_primary_verified. JHK approved sensitivity-only use of the blood-specific 6/16 pair on 2026-08-20. Sixteen initial blood samples were cultured among 1,430 reported suspected cases; later confirmation used mixed specimen types and clinical diagnosis and is not pooled with this pair.",Y,NI,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,major. Sixteen initial blood samples were cultured; later confirmation used mixed specimen types and clinical diagnosis because of limited laboratory access,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,The clinical index definition is sufficiently explicit and precedes culture: Fever >=38 C for >3 days plus digestive symptoms and a negative malaria test,low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct_primary_verified.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Lewis_2005,clinical_definition_ppv,Lewis 2005,"Bharatpur, Nepal",2002,33/98,target_sensitivity_only,Human-approved extraction; count status: direct_primary_verified. JHK approved sensitivity-only use on 2026-08-20. Use the directly reported 33 S. Typhi-positive cultures among 98 cultures obtained from 100 febrile outpatients sampled during one six-hour hospital window. Do not pool the separate selected 6/6 BZH cultures re-incubated at NPHL; the prior 39/104 reconstruction combined distinct sampling frames. The residual blood volume available for culture was reported as 0.5-2.0 mL; no single scalar volume is assigned.,Y,NI,N,N,PN,PN,PN,PN,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,major. AFRIMS sampled 100 febrile outpatients during one six-hour period; 98 had sufficient physician-ordered residual blood for culture. The separate selected 6/6 re-incubation series is excluded.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",high,"The clinical index definition is incomplete, loosely specified, or not demonstrably independent of diagnostic classification: Febrile outpatient sampled during a single six-hour hospital window; no reproducible typhoid-specific clinical rule was stated.",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct_primary_verified.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Lutterloh_2012,clinical_definition_ppv,Lutterloh 2012,Malawi-Mozambique border,2009,44/108,target_sensitivity_only,"Human-approved extraction; count status: direct_person_level_multiple_cultures. JHK approved sensitivity-only use of the direct person-level 44/108 blood-culture pair on 2026-08-20. The report gives 112 blood cultures from 108 people, with 46 positive cultures from 44 people. The broader 303 total combines 214 syndromic-suspected, 43 TUBEX-probable, and 46 culture-confirmed cases under nonnested definitions, so it is not a culture-independent suspected denominator and is retained only as outbreak context. Laboratory access and culture selection changed during the investigation.",Y,NI,N,N,PN,PN,PN,PN,N,N,Y,NI,PY,NI,Y,PY,N,N,PY,Y,high,major. Laboratory capacity was established during the investigation; cultured patients were not a prespecified random sample.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",high,"The clinical index definition is incomplete, loosely specified, or not demonstrably independent of diagnostic classification: Fever plus at least one compatible symptom and no alternative explanation; the broader 303-category total is not an independent suspected denominator.",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct_person_level_multiple_cultures.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Michel_2005,clinical_definition_ppv,Michel 2005,"Abidjan, Cote d'Ivoire",2001,5/6,target_sensitivity_only,"Human-approved extraction; count status: direct_primary_verified. JHK approved sensitivity-only use of direct 5/6 on 2026-08-20. All 24 cases met the stated clinical rule, but only six were blood cultured during the clinical phase and five grew S. Typhi. The closed, vaccinated French military exposure cohort and phase-specific culture selection are not transportable to community suspected-case PPV. Serology and stool results are not pooled.",Y,NI,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,major. Six of 24 independently clinically defined cases were cultured during the clinical phase; selection reason not reported.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,"The clinical index definition is sufficiently explicit and precedes culture: Fever >=38.5 C plus at least one chill, headache, gastrointestinal, or neurologic symptom",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct_primary_verified.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Misra_2005,clinical_definition_ppv,Misra 2005,"Mumbai military garrison, India",2000,93/150,target_sensitivity_only,Human-approved extraction; count status: direct_body_table_denominator_cohort_implied. JHK approved sensitivity-only use of 93/150 on 2026-08-20. The main Results text and Table 2 report 93 blood-culture-positive cases among the 150-case admitted cohort (62%). The abstract's 92 (63%) is internally inconsistent and is retained only as a documented source discrepancy. The 150 tested denominator is cohort-implied by the Methods and Results wording. Widal positivity and three bone-marrow confirmations remain separate.,Y,NI,N,N,PN,PN,PN,PN,N,Y,Y,Y,PY,NI,Y,PY,Y,Y,PY,Y,high,major. Hospital-admitted cases with typical presentation and more than eight days of fever; cohort-wide blood testing is implied by the Methods and Results wording.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",high,"The clinical index definition is incomplete, loosely specified, or not demonstrably independent of diagnostic classification: Typical clinical presentation in an epidemic setting; all patients had more than eight days of fever",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,low,"The aligned same-frame count is direct or near-complete, with minimal missing outcomes within the stated analytic cohort.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Olaru_2019,clinical_definition_ppv,Olaru 2019,"Harare, Zimbabwe",2018-2019,41/226,target_sensitivity_only,"Human-approved extraction; count status: reconstructed_exact_age_strata_prevaccination. JHK selected the pre-vaccination subset for sensitivity-only use. The selected 41/226 is reconstructed exactly from 23/109 children plus 18/117 adults before vaccination. The all-period 61/316 also includes the nested post-vaccination 20/90 and is context only; these totals must not be modeled together. The denominator is reported as blood cultures among febrile FIEBRE attendees, without a separate suspected-case frame or explicit patient-uniqueness statement. Lightowler remains the preferred primary Harare-family observation.",Y,NI,N,N,PN,PN,PN,PN,N,N,Y,NI,PY,NI,Y,NI,N,N,N,PY,high,major. Health-facility attendance and FIEBRE enrollment; the selected row is the pre-vaccination age-stratified subset.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",high,"The clinical index definition is incomplete, loosely specified, or not demonstrably independent of diagnostic classification: FIEBRE participants presenting with fever; no separate suspected-typhoid denominator is reported.",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: reconstructed_exact_age_strata_prevaccination.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Roy_2016,clinical_definition_ppv,Roy 2016,"Assam, India",2014,6/13,target_sensitivity_only,"Human-approved extraction; count status: direct_primary_verified. JHK approved sensitivity-only use of the directly reported 6/13 blood-culture pair on 2026-08-21. The paper reports 79 outbreak cases, but only 13 fever patients were selected for blood culture and six grew S. Typhi. The 79-case outbreak frame is not a completely verified clinical cohort; Widal testing and the small selected culture subset limit transportability to all suspected community cases.",Y,NI,N,N,PN,PN,PN,PN,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,major. Thirteen fever patients were selected for blood sampling; selection from the 79-case frame was not fully described.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",high,"The clinical index definition is incomplete, loosely specified, or not demonstrably independent of diagnostic classification: Seventy-nine outbreak cases were enumerated; no reproducible culture-independent suspected-case definition was reported.",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct_primary_verified.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Walters_2014_1_Kasese,clinical_definition_ppv,"Walters 2014 (1), Kasese","Kasese, Uganda",2009-2011,7/74,target_sensitivity_only,"Human-approved extraction; count status: direct_primary_verified_prospective_frame. JHK approved both district-specific Walters observations for sensitivity-only use on 2026-08-21. The report directly identifies 149 Kasese and 128 Bundibugyo cases during prospective laboratory-enhanced case finding; these are prospective case frames, not blood-culture denominators or the full-outbreak totals of 709 and 333. Blood culture yield was 7/74 in Kasese and 15/72 in Bundibugyo. Culturing was severity- and daily-quota-selected, so neither pair represents complete verification of its prospective frame.",Y,PY,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,"major. During prospective laboratory-enhanced case finding, facilities cultured all suspected perforations plus only the first two other qualifying patients per day.",high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,The clinical index definition is sufficiently explicit and precedes culture: Intestinal perforation or fever plus abdominal pain and at least one gastrointestinal or systemic symptom,low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct_primary_verified_prospective_frame.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Walters_2014_2_Bundibugyo,clinical_definition_ppv,"Walters 2014 (2), Bundibugyo","Bundibugyo, Uganda",2011,15/72,target_sensitivity_only,"Human-approved extraction; count status: direct_primary_verified_prospective_frame. JHK approved both district-specific Walters observations for sensitivity-only use on 2026-08-21. The report directly identifies 149 Kasese and 128 Bundibugyo cases during prospective laboratory-enhanced case finding; these are prospective case frames, not blood-culture denominators or the full-outbreak totals of 709 and 333. Blood culture yield was 7/74 in Kasese and 15/72 in Bundibugyo. Culturing was severity- and daily-quota-selected, so neither pair represents complete verification of its prospective frame.",Y,PY,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,"major. During prospective laboratory-enhanced case finding, facilities cultured all suspected perforations plus only the first three other qualifying patients per day.",high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,The clinical index definition is sufficiently explicit and precedes culture: Intestinal perforation or fever plus abdominal pain and at least one gastrointestinal or systemic symptom,low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct_primary_verified_prospective_frame.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
EMBASE:EMB0436:PPV,clinical_definition_ppv,Khan 2022,"Surangi village industrial-labour residential colony, Dadra and Nagar Haveli, India",2020,9/54,target_primary,Human-approved extraction; count status: direct_primary_verified_complete_visit_cohort. JHK approved Khan 2022 for the target primary PPV layer on 2026-08-21 using the direct 54 suspected / 54 blood-cultured / 9 S. Typhi-positive rapid-response-visit cohort. Complete verification within this cohort supports primary use. The separately reported 174 is the cumulative outbreak total combining clinically suspected and laboratory-confirmed reports; it is context only and is not an aligned tested denominator. The primary estimate remains phase-specific.,Y,PY,PY,PY,PY,Y,PY,PY,N,Y,Y,Y,PY,NI,Y,PY,Y,Y,PY,Y,low,"negligible/low. Complete blood-culture verification of all 54 residents symptomatic at the rapid-response visit; this is a phase-specific cross-section, not the cumulative 174-report outbreak series.",high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,"The clinical index definition is sufficiently explicit and precedes culture: Symptomatic under the report's fever-and-symptom clinical definition at the rapid-response visit, independent of culture result.",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,low,"The aligned same-frame count is direct or near-complete, with minimal missing outcomes within the stated analytic cohort.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
